matter_id,practice_area,original_amount,discount_amount,billed_amount,realized_amount,collection_days,write_off_amount,matter_date,client_id,lawyer_role,firm_specific_code
1,Tax,49336.11,3891.17,45444.94,28940.42,159,16504.52,2025-04-07,CL-011,Senior Associate,FSC-001
2,Tax,84610.83,7925.49,76685.34,8763.96,144,67921.38,2024-07-23,CL-012,Senior Associate,FSC-002
3,Tax,13713.48,2243.61,11469.87,11333.34,85,136.53,2024-11-27,CL-003,Partner,FSC-003
4,Employment,67101.16,8903.54,58197.62,55559.37,71,2638.25,2024-08-25,CL-004,Senior Associate,FSC-004
5,Litigation,81006.45,15730.25,65276.2,26409.58,13,38866.62,2024-09-06,CL-002,Associate,FSC-005
6,Corporate,38076.5,2397.8,35678.7,28640.2,82,7038.5,2024-09-25,CL-018,Paralegal,FSC-006
7,Litigation,1289.72,76.81,1212.91,266.23,116,946.68,2025-01-21,CL-007,Associate,FSC-007
8,Tax,53282.64,6420.91,46861.73,16721.69,73,30140.04,2024-10-17,CL-001,Paralegal,FSC-008
9,IP,4777.91,194.57,4583.34,1118.72,164,3464.62,2025-05-09,CL-012,Senior Associate,FSC-009
10,IP,42388.98,8304.08,34084.9,20670.99,33,13413.91,2024-12-18,CL-008,Associate,FSC-010
11,Tax,3114.0,134.87,2979.13,1680.09,67,1299.04,2025-01-26,CL-017,Paralegal,FSC-011
12,Litigation,35341.05,3015.28,32325.77,22519.7,116,9806.07,2024-11-15,CL-009,Senior Associate,FSC-012
13,IP,79227.19,12830.44,66396.75,45541.07,1,20855.68,2025-02-15,CL-016,Partner,FSC-013
14,Corporate,49809.64,6621.33,43188.31,33537.27,32,9651.04,2025-02-08,CL-005,Associate,FSC-014
15,Litigation,83144.63,16021.64,67122.99,62319.04,3,4803.95,2024-06-10,CL-014,Partner,FSC-015
16,Employment,10400.99,1722.48,8678.51,4161.31,180,4517.2,2024-11-09,CL-005,Partner,FSC-016
17,IP,88565.68,1476.21,87089.47,81327.82,135,5761.65,2024-09-25,CL-001,Partner,FSC-017
18,Tax,74170.22,11233.98,62936.24,11057.0,29,51879.24,2024-06-24,CL-014,Senior Associate,FSC-018
19,IP,1706.98,23.61,1683.37,414.63,156,1268.74,2024-07-10,CL-007,Senior Associate,FSC-019
20,Tax,51105.56,2050.09,49055.47,27242.91,163,21812.56,2025-01-16,CL-002,Paralegal,FSC-020
21,Tax,11193.74,1123.12,10070.62,3587.53,133,6483.09,2024-09-20,CL-006,Paralegal,FSC-021
22,Litigation,59798.98,3554.58,56244.4,16911.88,129,39332.52,2025-01-21,CL-003,Paralegal,FSC-022
23,IP,6071.38,988.63,5082.75,1142.8,63,3939.95,2024-09-22,CL-013,Senior Associate,FSC-023
24,Tax,9453.17,1740.15,7713.02,708.36,155,7004.66,2024-06-17,CL-007,Paralegal,FSC-024
25,Litigation,41559.78,7054.43,34505.35,25357.83,149,9147.52,2025-04-07,CL-012,Senior Associate,FSC-025
26,Employment,47813.29,1582.48,46230.81,29790.56,39,16440.25,2025-04-29,CL-002,Associate,FSC-026
27,Litigation,31822.03,2172.3,29649.73,11709.95,53,17939.78,2024-07-31,CL-018,Associate,FSC-027
28,IP,88594.94,12635.74,75959.2,2862.93,123,73096.27,2024-11-17,CL-001,Paralegal,FSC-028
29,Corporate,84338.87,14876.99,69461.88,63653.09,51,5808.79,2025-02-20,CL-018,Partner,FSC-029
30,IP,12800.49,2310.5,10489.99,334.72,160,10155.27,2025-05-17,CL-001,Paralegal,FSC-030
31,Corporate,22316.35,2275.35,20041.0,14713.55,153,5327.45,2025-04-05,CL-008,Paralegal,FSC-031
32,IP,83676.59,1512.72,82163.87,16100.15,7,66063.72,2024-06-10,CL-007,Senior Associate,FSC-032
33,Litigation,66258.43,12440.62,53817.81,46462.78,4,7355.03,2024-12-28,CL-017,Associate,FSC-033
34,IP,9143.7,604.84,8538.86,186.74,101,8352.12,2025-02-02,CL-017,Paralegal,FSC-034
35,Employment,61211.46,11608.55,49602.91,30345.97,76,19256.94,2024-09-18,CL-007,Partner,FSC-035
36,Corporate,90634.31,15963.1,74671.21,2707.92,169,71963.29,2024-08-08,CL-002,Associate,FSC-036
37,Tax,95221.23,13180.03,82041.2,42510.35,129,39530.85,2024-05-24,CL-007,Senior Associate,FSC-037
38,Employment,46464.59,4386.33,42078.26,11596.0,3,30482.26,2025-01-27,CL-009,Paralegal,FSC-038
39,IP,45262.46,4900.94,40361.52,17188.87,177,23172.65,2024-10-24,CL-010,Paralegal,FSC-039
40,Employment,83761.19,6185.98,77575.21,14892.23,157,62682.98,2025-03-20,CL-001,Associate,FSC-040
41,Corporate,44068.33,1776.91,42291.42,30793.29,1,11498.13,2024-07-15,CL-005,Senior Associate,FSC-041
42,Litigation,75159.16,164.15,74995.01,24535.8,79,50459.21,2024-11-19,CL-015,Senior Associate,FSC-042
43,Corporate,67305.09,12158.44,55146.65,33342.11,93,21804.54,2025-01-04,CL-010,Associate,FSC-043
44,Tax,91077.2,10832.88,80244.32,46653.16,131,33591.16,2025-02-03,CL-009,Paralegal,FSC-044
45,Corporate,74919.98,8198.65,66721.33,24014.64,66,42706.69,2025-05-19,CL-011,Senior Associate,FSC-045
46,IP,61517.6,5529.79,55987.81,21512.01,161,34475.8,2024-08-25,CL-008,Paralegal,FSC-046
47,IP,53111.2,2664.82,50446.38,9225.59,101,41220.79,2024-05-31,CL-020,Paralegal,FSC-047
48,Tax,25650.14,2613.52,23036.62,1470.26,68,21566.36,2025-01-12,CL-014,Partner,FSC-048
49,Tax,31369.98,4556.93,26813.05,3627.4,137,23185.65,2025-02-10,CL-013,Senior Associate,FSC-049
50,Tax,23847.79,2474.57,21373.22,13936.5,56,7436.72,2024-06-13,CL-018,Senior Associate,FSC-050
51,Tax,75775.58,2660.73,73114.85,15679.75,130,57435.1,2024-05-24,CL-007,Associate,FSC-051
52,Tax,58668.95,11595.2,47073.75,10903.09,77,36170.66,2024-09-08,CL-008,Associate,FSC-052
53,Corporate,76346.11,14500.31,61845.8,16903.89,46,44941.91,2025-04-17,CL-006,Partner,FSC-053
54,Tax,46503.86,8846.84,37657.02,16754.0,66,20903.02,2024-10-29,CL-016,Paralegal,FSC-054
55,Corporate,5595.69,1083.98,4511.71,1337.89,88,3173.82,2024-08-06,CL-014,Partner,FSC-055
56,Litigation,86300.38,2583.05,83717.33,62963.56,177,20753.77,2025-05-03,CL-002,Paralegal,FSC-056
57,Tax,57742.54,5272.67,52469.87,41796.46,4,10673.41,2024-06-22,CL-016,Partner,FSC-057
58,Employment,6273.08,312.62,5960.46,2049.31,91,3911.15,2024-07-10,CL-010,Senior Associate,FSC-058
59,Litigation,70369.39,2635.15,67734.24,41546.11,165,26188.13,2024-07-14,CL-006,Partner,FSC-059
60,Litigation,49717.73,3007.04,46710.69,10436.11,180,36274.58,2025-04-10,CL-009,Senior Associate,FSC-060
61,Employment,17355.24,1951.89,15403.35,12024.78,157,3378.57,2024-09-13,CL-013,Partner,FSC-061
